Date,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2025-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,55,52,45,38,24,15,12,12,9,8,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,8,16,27,48,59,67,69,70,70,70,66,65,63,56,48,29,20,23,32,35,38,45,48,56,67,70,70,69,73,67,63,71,71,68,66,60,50,46,43,44,41,37,31,27,32,33,41,43,48,50,51,49,46,45,48,40,32,27,19,16,10,8,8,8,8,8,4,7,10,11,11,10,12,13,19,20,23,32,32,32,37,45,49,49,50,59,69,74,77,79,80,84,78,71,76,80,82,76,70,86,108,114,121,117,117,118,111,118,118,123,124,118,117,127,124,123,126,127,135,129,131,124,116,104,82,52,47,47,46,48,52,62,62,63,61,57,55,56,56,54,50,43,29,13,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,11,18,27,44,58,76,81,85,86,88,89,90,85,79,71,55,45,30,33,32,37,38,42,40,42,44,43,44,41,40,35,36,34,33,31,30,26,24,24,24,23,22,19,15,11,9,8,10,12,11,11,10,12,13,15,17,23,32,31,30,29,41,42,41,39,38,37,36,31,26,30,38,54,60,76,91,97,98,99,101,104,101,102,99,93,79,69,55,53,51,48,45,44,48,56,71,74,77,71,71,69,70,76,80,78,73,65,43,31,24,25,28,28,31,25,23,27,28,28,36,51,67,71,75,78,76,77,76,73,74,68,62,47,33,26,18,15,13,13,12,11,8,9,7,6,5,5,5,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,11,15,24,43,64,73,74,74,76,76,77,74,70,67,59,41,26,30,37,44,46,44,47,48,54,55,55,59,54,44,45,42,43,51,48,46,41,40,39,35,34,31,26,28,33,39,52,56,60,61,62,62,63,64,62,57,51,39,30,39,36,37,37,39,40,40,41,41,38,40,35,24,34,33,35,32,33,33,34,35,34,30,32,33,28,43,50,57,55,57,55,54,54,56,58,63,66,56,46,55,64,72,79,83,84,84,81,83,75,71,72,72,78,82,73,70,71,70,73,71,76,80,81,66,55,42,47,51,53,53,52,44,38,33,35,34,29,27,22,17,13,12,9,8,7,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,10,11,14,16,27,35,38,39,39,41,40,36,34,35,35,34,25,19,21,28,30,27,28,31,34,36,35,35,37,37,37,35,51,59,59,56,54,50,49,49,45,43,39,34,16,8,6,7,6,7,6,5,6,10,13,17,25,25,26,26,28,28,30,31,30,26,22,18,14,15,18,21,32,38,55,61,63,64,69,69,76,77,73,69,58,52,38,33,31,34,39,38,28,27,33,36,41,44,43,49,51,49,45,45,44,42,40,46,45,46,44,38,38,35,30,30,33,33,32,30,33,30,33,33,33,36,38,39,38,39,37,31,24,23,19,19,17,15,13,11,9,8,7,6,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,5,5,5,6,8,13,18,18,20,20,20,20,20,22,22,21,19,14,9,7,5,7,10,11,12,14,15,15,16,16,16,19,18,16,15,15,13,10,9,9,8,8,8,5,6,6,4,3,3,5,6,7,10,10,11,11,10,9,9,10,10,7,6,5,2,2,1,1,3,3,4,5,9,9,10,11,14,14,15,16,13,14,14,13,9,9,8,7,4,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,5,5,5,5,5,7,5,5,6,5,6,6,6,10,11,11,12,10,16,16,17,17,22,19,19,16,15,15,14,14,8,8,6,6,3,3,6,6,6,6,6,10,15,15,15,15,13,13,15,14,14,17,17,13,9,14,14,16,16,23,26,30,36,35,38,38,38,33,33,32,32,26,18,14,8,6,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,8,9,9,9,9,8,8,8,9,8,8,8,3,3,8,9,9,9,11,11,11,12,13,13,12,11,7,6,6,7,6,6,8,7,7,7,9,9,13,12,14,13,12,12,9,10,9,9,7,7,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,3,3,3,3,3,1,1,3,3,4,3,3,3,4,5,5,7,7,7,5,6,5,5,6,8,7,6,7,5,5,6,7,6,6,6,7,5,5,5,4,5,6,5,7,8,9,9,7,7,7,7,7,6,5,6,3,2,1,1,1,1,1,1,3,3,3,2,2,2,2,2,5,5,7,7,6,6,6,6,7,7,7,6,3,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,5,7,7,10,13,13,13,13,13,12,14,16,14,11,12,11,11,10,10,10,13,13,11,9,10,10,10,10,7,10,11,11,8,13,13,17,18,20,19,21,19,17,19,24,24,23,24,21,19,17,17,15,17,16,13,8,8,4,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,14,30,44,60,65,68,68,69,70,70,69,66,58,44,30,18,25,29,34,34,36,39,42,54,57,57,65,63,57,57,59,61,61,58,54,42,40,38,30,28,24,19,20,26,37,45,49,51,50,51,52,55,56,57,49,40,30,26,22,20,21,20,19,16,13,11,15,18,14,11,10,10,10,14,18,19,22,23,26,25,34,36,45,52,58,67,64,63,62,62,55,53,44,42,35,32,32,27,35,62,74,87,95,100,101,104,110,111,114,119,126,115,119,119,111,110,116,112,108,108,105,96,81,65,48,35,38,36,30,32,32,28,22,22,21,21,22,20,14,12,11,9,5,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,6,8,15,21,35,52,64,83,86,86,88,87,85,84,77,72,60,45,36,16,15,21,22,25,25,24,29,30,29,31,32,38,43,46,50,53,55,58,57,57,59,57,53,46,39,30,29,23,21,21,18,18,17,15,16,17,20,30,31,39,43,42,45,46,46,46,45,44,42,34,30,23,26,27,35,45,63,75,80,81,79,78,81,83,78,81,78,71,52,41,36,35,37,41,36,33,38,38,41,37,40,39,40,40,39,35,35,37,31,31,34,34,33,34,38,38,40,43,44,44,47,44,43,48,58,63,63,72,73,72,74,79,76,73,61,54,42,37,32,24,20,18,14,7,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,7,12,19,0,51,65,70,74,75,75,78,75,75,71,65,52,35,24,34,36,36,40,41,41,47,52,53,54,53,57,45,44,49,54,51,51,44,38,38,37,36,30,27,22,23,27,38,45,53,55,57,59,62,61,61,64,63,53,49,47,53,59,63,64,61,63,65,69,69,67,60,59,50,44,39,36,39,39,42,34,36,37,40,47,48,66,69,78,79,78,73,74,66,64,67,57,55,47,42,43,42,55,68,78,81,86,85,88,87,82,82,74,80,80,81,79,78,74,68,78,78,80,88,93,94,89,75,66,64,64,66,56,53,45,40,33,23,15,16,16,16,18,16,13,11,10,6,6,6,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7,15,26,38,47,50,50,52,54,53,53,51,50,43,32,20,11,11,15,15,13,13,13,16,19,20,23,27,32,35,46,63,79,82,84,86,92,94,91,87,83,76,61,44,28,28,24,20,15,10,12,13,15,23,26,29,41,42,47,51,51,54,53,54,53,46,43,41,31,30,32,43,58,71,80,85,85,86,86,84,82,80,73,57,40,24,14,11,17,24,31,36,36,40,44,46,51,50,50,49,45,37,31,29,33,31,33,39,38,42,46,52,50,53,56,57,56,58,64,67,67,76,77,78,79,78,79,76,73,72,60,52,53,40,35,26,25,25,20,20,20,15,15,11,6,6,6,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,11,22,36,58,64,64,64,64,65,65,64,65,58,48,35,17,12,12,11,11,13,18,24,26,29,29,30,27,26,26,28,29,30,24,17,14,11,10,9,7,9,10,9,8,6,9,11,12,15,15,15,16,14,15,14,14,13,10,9,8,6,7,8,9,11,11,13,16,15,16,23,24,25,26,27,31,29,30,33,31,33,35,30,30,29,28,27,23,24,21,16,22,22,19,21,21,20,21,25,25,24,29,30,24,22,23,19,19,19,17,12,10,10,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
